year,category,prize,motivation,price_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,gender,organization_name,organization_city,organization_country,death_date,death_city,death_country
1951,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discoveries concerning yellow fever and how to combat it,1,352,Individual,Max Theiler,1899-01-30,Pretoria,South Africa,male,"Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation","New York, NY",USA,1972-08-11,"New Haven, CT",USA
1952,Chemistry,The Nobel Prize in Chemistry,for their invention of partition chromatography,1/2,214,Individual,Archer John Porter Martin,1910-03-01,London,United Kingdom,male,National Institute for Medical Research,London,United Kingdom,2002-07-28,Llangarron,United Kingdom
1952,Chemistry,The Nobel Prize in Chemistry,for their invention of partition chromatography,1/2,215,Individual,Richard Laurence Millington Synge,1914-10-28,Liverpool,United Kingdom,male,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,1994-08-18,Norwich,United Kingdom
1952,Literature,The Nobel Prize in Literature,for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life,1,623,Individual,François Mauriac,1885-10-11,Bordeaux,France,male,,,,1970-09-01,Paris,France
1952,Peace,The Nobel Peace Prize,"for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one",1,513,Individual,Albert Schweitzer,1875-01-14,Kaysersberg,Germany,male,,,,1965-09-04,Lambaréné,Gabon
1952,Physics,The Nobel Prize in Physics,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,1/2,59,Individual,Edward Mills Purcell,1912-08-30,"Taylorville, IL",USA,male,Harvard University,"Cambridge, MA",USA,1997-03-07,"Cambridge, MA",USA
1952,Physics,The Nobel Prize in Physics,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,1/2,58,Individual,Felix Bloch,1905-10-23,Zurich,Switzerland,male,Stanford University,"Stanford, CA",USA,1983-09-10,Zurich,Switzerland
1952,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for his discovery of streptomycin, the first antibiotic effective against tuberculosis",1,353,Individual,Selman Abraham Waksman,1888-07-22,Priluka,Russian Empire,male,Rutgers University,"New Brunswick, NJ",USA,1973-08-16,"Hyannis, MA",USA
1953,Chemistry,The Nobel Prize in Chemistry,for his discoveries in the field of macromolecular chemistry,1,216,Individual,Hermann Staudinger,1881-03-23,Worms,Germany,male,University of Freiburg,Breisgau,Germany,1965-09-08,Freiburg im Breisgau,West Germany
1953,Literature,The Nobel Prize in Literature,for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values,1,624,Individual,Sir Winston Leonard Spencer Churchill,1874-11-30,Woodstock,United Kingdom,male,,,,1965-01-24,London,United Kingdom
1953,Peace,The Nobel Peace Prize,for proposing and supervising the plan for the economic recovery of Europe,1,514,Individual,George Catlett Marshall,1880-12-31,"Uniontown, PA",USA,male,,,,1959-10-16,"Washington, D.C.",USA
1953,Physics,The Nobel Prize in Physics,"for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope",1,60,Individual,Frits Zernike,1888-07-16,Amsterdam,the Netherlands,male,Groningen University,Groningen,the Netherlands,1966-03-10,Groningen,the Netherlands
1953,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discovery of co-enzyme A and its importance for intermediary metabolism,1/2,355,Individual,Fritz Albert Lipmann,1899-06-12,Koenigsberg,Germany,male,Harvard Medical School,"Boston, MA",USA,1986-07-24,"Poughkeepsie, NY",USA
1953,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discovery of the citric acid cycle,1/2,354,Individual,Hans Adolf Krebs,1900-08-25,Hildesheim,Germany,male,Sheffield University,Sheffield,United Kingdom,1981-11-22,Oxford,United Kingdom
1954,Chemistry,The Nobel Prize in Chemistry,for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances,1,217,Individual,Linus Carl Pauling,1901-02-28,"Portland, OR",USA,male,California Institute of Technology (Caltech),"Pasadena, CA",USA,1994-08-19,"Big Sur, CA",USA
1954,Literature,The Nobel Prize in Literature,"for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style",1,625,Individual,Ernest Miller Hemingway,1899-07-21,"Oak Park, IL",USA,male,,,,1961-07-02,"Ketchum, ID",USA
1954,Peace,The Nobel Peace Prize,for its efforts to heal the wounds of war by providing help and protection to refugees all over the world,1,515,Organization,Office of the United Nations High Commissioner for Refugees,1950-12-14,Geneva,Switzerland,,,,,,,
1954,Physics,The Nobel Prize in Physics,"for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction",1/2,61,Individual,Max Born,1882-12-11,Breslau,Germany,male,Edinburgh University,Edinburgh,United Kingdom,1970-01-05,Göttingen,West Germany
1954,Physics,The Nobel Prize in Physics,for the coincidence method and his discoveries made therewith,1/2,62,Individual,Walther Bothe,1891-01-08,Oranienburg,Germany,male,University of Heidelberg,Heidelberg,Germany,1957-02-08,Heidelberg,West Germany
1954,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,1/3,358,Individual,Frederick Chapman Robbins,1916-08-25,"Auburn, AL",USA,male,Western Reserve University,"Cleveland, OH",USA,2003-08-04,"Cleveland, OH",USA
1954,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,1/3,356,Individual,John Franklin Enders,1897-02-10,"West Hartford, CT",USA,male,Harvard Medical School,"Boston, MA",USA,1985-09-08,"Waterford, CT",USA
1954,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,1/3,357,Individual,Thomas Huckle Weller,1915-06-15,"Ann Arbor, MI",USA,male,"Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",USA,2008-08-23,"Needham, MA",USA
1955,Chemistry,The Nobel Prize in Chemistry,"for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone",1,218,Individual,Vincent du Vigneaud,1901-05-18,"Chicago, IL",USA,male,Cornell University,"Ithaca, NY",USA,1978-12-11,"White Plains, NY",USA
1955,Literature,The Nobel Prize in Literature,for his vivid epic power which has renewed the great narrative art of Iceland,1,626,Individual,Halldór Kiljan Laxness,1902-04-23,Reykjavik,Iceland,male,,,,1998-02-08,Reykjavik,Iceland
1955,Physics,The Nobel Prize in Physics,for his precision determination of the magnetic moment of the electron,1/2,64,Individual,Polykarp Kusch,1911-01-26,Blankenburg,Germany,male,Columbia University,"New York, NY",USA,1993-03-20,"Dallas, TX",USA
1955,Physics,The Nobel Prize in Physics,for his discoveries concerning the fine structure of the hydrogen spectrum,1/2,63,Individual,Willis Eugene Lamb,1913-07-12,"Los Angeles, CA",USA,male,Stanford University,"Stanford, CA",USA,2008-05-15,"Tucson, AZ",USA
1955,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discoveries concerning the nature and mode of action of oxidation enzymes,1,359,Individual,Axel Hugo Theodor Theorell,1903-07-06,Linköping,Sweden,male,"Karolinska Institutet, Nobel Medical Institute",Stockholm,Sweden,1982-08-15,Stockholm,Sweden
1956,Chemistry,The Nobel Prize in Chemistry,for their researches into the mechanism of chemical reactions,1/2,220,Individual,Nikolay Nikolaevich Semenov,1896-04-03,Saratov,Russia,male,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,USSR,1986-09-25,Moscow,USSR
1956,Chemistry,The Nobel Prize in Chemistry,for their researches into the mechanism of chemical reactions,1/2,219,Individual,Sir Cyril Norman Hinshelwood,1897-05-19,London,United Kingdom,male,University of Oxford,Oxford,United Kingdom,1967-10-09,London,United Kingdom
1956,Literature,The Nobel Prize in Literature,"for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity",1,627,Individual,Juan Ramón Jiménez,1881-12-24,Moguer,Spain,male,,,,1958-05-29,San Juan,Puerto Rico
1956,Physics,The Nobel Prize in Physics,for their researches on semiconductors and their discovery of the transistor effect,1/3,66,Individual,John Bardeen,1908-05-23,"Madison, WI",USA,male,University of Illinois,"Urbana, IL",USA,1991-01-30,"Boston, MA",USA
1956,Physics,The Nobel Prize in Physics,for their researches on semiconductors and their discovery of the transistor effect,1/3,67,Individual,Walter Houser Brattain,1902-02-10,Amoy,China,male,Bell Telephone Laboratories,"Murray Hill, NJ",USA,1987-10-13,"Seattle, WA",USA
1956,Physics,The Nobel Prize in Physics,for their researches on semiconductors and their discovery of the transistor effect,1/3,65,Individual,William Bradford Shockley,1910-02-13,London,United Kingdom,male,"Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",USA,1989-08-12,"Palo Alto, CA",USA
1956,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,1/3,360,Individual,André Frédéric Cournand,1895-09-24,Paris,France,male,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",USA,1988-02-19,"Great Barrington, MA",USA
1956,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,1/3,362,Individual,Dickinson W. Richards,1895-10-30,"Orange, NJ",USA,male,Columbia University,"New York, NY",USA,1973-02-23,"Lakeville, CT",USA
1956,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,1/3,361,Individual,Werner Forssmann,1904-08-29,Berlin,Germany,male,Mainz University,Mainz,Germany,1979-06-01,Schopfheim,West Germany
1957,Chemistry,The Nobel Prize in Chemistry,for his work on nucleotides and nucleotide co-enzymes,1,221,Individual,Lord (Alexander R.) Todd,1907-10-02,Glasgow,Scotland,male,University of Cambridge,Cambridge,United Kingdom,1997-01-10,Cambridge,United Kingdom
1957,Literature,The Nobel Prize in Literature,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",1,628,Individual,Albert Camus,1913-11-07,Mondovi,French Algeria,male,,,,1960-01-04,Sens,France
1957,Peace,The Nobel Peace Prize,for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis,1,516,Individual,Lester Bowles Pearson,1897-04-23,Toronto,Canada,male,,,,1972-12-27,Ottawa,Canada
1957,Physics,The Nobel Prize in Physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,1/2,68,Individual,Chen Ning Yang,1922-09-22,"Hofei, Anhwei",China,male,Institute for Advanced Study,"Princeton, NJ",USA,,,
1957,Physics,The Nobel Prize in Physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,1/2,69,Individual,Tsung-Dao (T.D.) Lee,1926-11-24,Shanghai,China,male,Columbia University,"New York, NY",USA,,,
1957,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles",1,363,Individual,Daniel Bovet,1907-03-23,Neuchâtel,Switzerland,male,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,1992-04-08,Rome,Italy
1958,Chemistry,The Nobel Prize in Chemistry,"for his work on the structure of proteins, especially that of insulin",1,222,Individual,Frederick Sanger,1918-08-13,Rendcombe,United Kingdom,male,University of Cambridge,Cambridge,United Kingdom,2013-11-19,Cambridge,United Kingdom
1958,Literature,The Nobel Prize in Literature,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition,1,629,Individual,Boris Leonidovich Pasternak,1890-02-10,Moscow,Russia,male,,,,1960-05-30,Peredelkino,Russia
1958,Peace,The Nobel Peace Prize,for his efforts to help refugees to leave their camps and return to a life of freedom and dignity,1,517,Individual,Georges Pire,1910-02-10,Dinant,Belgium,male,,,,1969-01-30,Leuven,Belgium
1958,Physics,The Nobel Prize in Physics,for the discovery and the interpretation of the Cherenkov effect,1/3,71,Individual,Igor Yevgenyevich Tamm,1895-07-08,Vladivostok,Russia,male,Lomonosov Moscow State University,Moscow,USSR,1971-04-12,Moscow,USSR
1958,Physics,The Nobel Prize in Physics,for the discovery and the interpretation of the Cherenkov effect,1/3,721,Individual,Il´ja Mikhailovich Frank,1908-10-23,Leningrad,Russia,male,Lomonosov Moscow State University,Moscow,USSR,1990-06-22,Moscow,USSR
1958,Physics,The Nobel Prize in Physics,for the discovery and the interpretation of the Cherenkov effect,1/3,70,Individual,Pavel Alekseyevich Cherenkov,1904-07-28,Novaya Chigla,Russia,male,P.N. Lebedev Physical Institute,Moscow,USSR,1990-01-06,,USSR
1958,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery that genes act by regulating definite chemical events,1/4,365,Individual,Edward Lawrie Tatum,1909-12-14,"Boulder, CO",USA,male,Rockefeller Institute for Medical Research,"New York, NY",USA,1975-11-05,"New York, NY",USA
1958,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery that genes act by regulating definite chemical events,1/4,364,Individual,George Wells Beadle,1903-10-22,"Wahoo, NE",USA,male,California Institute of Technology (Caltech),"Pasadena, CA",USA,1989-06-09,"Pomona, CA",USA
1958,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria,1/2,366,Individual,Joshua Lederberg,1925-05-23,"Montclair, NJ",USA,male,University of Wisconsin,"Madison, WI",USA,2008-02-02,"New York, NY",USA
1959,Chemistry,The Nobel Prize in Chemistry,for his discovery and development of the polarographic methods of analysis,1,223,Individual,Jaroslav Heyrovsky,1890-12-20,Prague,Austria-Hungary,male,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia,1967-03-27,Prague,Czechoslovakia
1959,Literature,The Nobel Prize in Literature,"for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times",1,630,Individual,Salvatore Quasimodo,1901-08-20,Modica,Italy,male,,,,1968-06-14,Naples,Italy
1959,Peace,The Nobel Peace Prize,for his longstanding contribution to the cause of disarmament and peace,1,518,Individual,Philip J. Noel-Baker,1889-11-01,London,United Kingdom,male,,,,1982-10-08,London,United Kingdom
1959,Physics,The Nobel Prize in Physics,for their discovery of the antiproton,1/2,72,Individual,Emilio Gino Segrè,1905-02-01,Tivoli,Italy,male,University of California,"Berkeley, CA",USA,1989-04-22,"Lafayette, CA",USA
1959,Physics,The Nobel Prize in Physics,for their discovery of the antiproton,1/2,73,Individual,Owen Chamberlain,1920-07-10,"San Francisco, CA",USA,male,University of California,"Berkeley, CA",USA,2006-02-28,"Berkeley, CA",USA
1959,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,1/2,368,Individual,Arthur Kornberg,1918-03-03,"Brooklyn, NY",USA,male,Stanford University,"Stanford, CA",USA,2007-10-26,"Stanford, CA",USA
1959,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,1/2,367,Individual,Severo Ochoa,1905-09-24,Luarca,Spain,male,"New York University, College of Medicine","New York, NY",USA,1993-11-01,Madrid,Spain
1960,Chemistry,The Nobel Prize in Chemistry,"for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science",1,224,Individual,Willard Frank Libby,1908-12-17,"Grand Valley, CO",USA,male,University of California,"Los Angeles, CA",USA,1980-09-08,"Los Angeles, CA",USA
1960,Literature,The Nobel Prize in Literature,for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time,1,631,Individual,Saint-John Perse,1887-05-31,Pointe-à-Pitre,Guadeloupe Island,male,,,,1975-09-20,Presqu'île-de-Giens,France
1960,Peace,The Nobel Peace Prize,for his non-violent struggle against apartheid,1,519,Individual,Albert John Lutuli,1898-01-01,Bulawayo,Southern Rhodesia,male,,,,1967-07-21,Stanger,South Africa
1960,Physics,The Nobel Prize in Physics,for the invention of the bubble chamber,1,74,Individual,Donald Arthur Glaser,1926-09-21,"Cleveland, OH",USA,male,University of California,"Berkeley, CA",USA,2013-02-28,"Berkeley, CA",USA
1960,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for discovery of acquired immunological tolerance,1/2,370,Individual,Peter Brian Medawar,1915-02-28,Rio de Janeiro,Brazil,male,University College,London,United Kingdom,1987-10-02,London,United Kingdom
1960,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for discovery of acquired immunological tolerance,1/2,369,Individual,Sir Frank Macfarlane Burnet,1899-09-03,Traralgon,Australia,male,Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia,1985-08-31,Melbourne,Australia
1961,Chemistry,The Nobel Prize in Chemistry,for his research on the carbon dioxide assimilation in plants,1,225,Individual,Melvin Calvin,1911-04-08,"St. Paul, MN",USA,male,University of California,"Berkeley, CA",USA,1997-01-08,"Berkeley, CA",USA
1961,Literature,The Nobel Prize in Literature,for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country,1,633,Individual,Ivo Andric,1892-10-10,Dolac,Bosnia,male,,,,1975-03-13,Belgrade,Yugoslavia
1961,Peace,The Nobel Peace Prize,"for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter",1,520,Individual,Dag Hjalmar Agne Carl Hammarskjöld,1905-07-29,Jönköping,Sweden,male,,,,1961-09-18,Ndola,Northern Rhodesia
1961,Physics,The Nobel Prize in Physics,for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons,1/2,75,Individual,Robert Hofstadter,1915-02-05,"New York, NY",USA,male,Stanford University,"Stanford, CA",USA,1990-11-17,"Stanford, CA",USA
1961,Physics,The Nobel Prize in Physics,for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name,1/2,76,Individual,Rudolf Ludwig Mössbauer,1929-01-31,Munich,Germany,male,Technical University,Munich,Germany,2011-09-14,,
1961,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discoveries of the physical mechanism of stimulation within the cochlea,1,371,Individual,Georg von Békésy,1899-06-03,Budapest,Hungary,male,Harvard University,"Cambridge, MA",USA,1972-06-13,"Honolulu, HI",USA
1962,Chemistry,The Nobel Prize in Chemistry,for their studies of the structures of globular proteins,1/2,227,Individual,John Cowdery Kendrew,1917-03-24,Oxford,United Kingdom,male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1997-08-23,Cambridge,United Kingdom
1962,Chemistry,The Nobel Prize in Chemistry,for their studies of the structures of globular proteins,1/2,226,Individual,Max Ferdinand Perutz,1914-05-19,Vienna,Austria,male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2002-02-06,Cambridge,United Kingdom
1962,Literature,The Nobel Prize in Literature,"for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception",1,634,Individual,John Steinbeck,1902-02-27,"Salinas, CA",USA,male,,,,1968-12-20,"New York, NY",USA
1962,Peace,The Nobel Peace Prize,for his fight against the nuclear arms race between East and West,1,217,Individual,Linus Carl Pauling,1901-02-28,"Portland, OR",USA,male,California Institute of Technology (Caltech),"Pasadena, CA",USA,1994-08-19,"Big Sur, CA",USA
1962,Physics,The Nobel Prize in Physics,"for his pioneering theories for condensed matter, especially liquid helium",1,77,Individual,Lev Davidovich Landau,1908-01-22,Baku,Russian Empire,male,Academy of Sciences,Moscow,USSR,1968-04-01,Moscow,USSR
1962,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,1/3,372,Individual,Francis Harry Compton Crick,1916-06-08,Northampton,United Kingdom,male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2004-07-28,"San Diego, CA",USA
1962,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,1/3,373,Individual,James Dewey Watson,1928-04-06,"Chicago, IL",USA,male,Harvard University,"Cambridge, MA",USA,,,
1962,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,1/3,374,Individual,Maurice Hugh Frederick Wilkins,1916-12-15,Pongaroa,New Zealand,male,London University,London,United Kingdom,2004-10-05,London,United Kingdom
1963,Chemistry,The Nobel Prize in Chemistry,for their discoveries in the field of the chemistry and technology of high polymers,1/2,229,Individual,Giulio Natta,1903-02-26,Imperia,Italy,male,Institute of Technology,Milan,Italy,1979-05-02,Bergamo,Italy
1963,Chemistry,The Nobel Prize in Chemistry,for their discoveries in the field of the chemistry and technology of high polymers,1/2,228,Individual,Karl Ziegler,1898-11-26,Helsa,Germany,male,Max-Planck-Institut für Kohlenforschung,Mülheim an der Ruhr,Germany,1973-08-12,Mülheim,West Germany
1963,Literature,The Nobel Prize in Literature,"for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture",1,635,Individual,Giorgos Seferis,1900-03-13,Smyrna,Ottoman Empire,male,,,,1971-09-20,Athens,Greece
1963,Peace,The Nobel Peace Prize,for promoting the principles of the Geneva Convention and cooperation with the UN,1/2,482,Organization,International Committee of the Red Cross,1863-01-01,Geneva,Switzerland,,,,,,,
1963,Peace,The Nobel Peace Prize,for promoting the principles of the Geneva Convention and cooperation with the UN,1/2,523,Organization,League of Red Cross Societies,1919-01-01,Paris,France,,,,,,,
1963,Physics,The Nobel Prize in Physics,"for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles",1/2,78,Individual,Eugene Paul Wigner,1902-11-17,Budapest,Austria-Hungary,male,Princeton University,"Princeton, NJ",USA,1995-01-01,"Princeton, NJ",USA
1963,Physics,The Nobel Prize in Physics,for their discoveries concerning nuclear shell structure,1/4,80,Individual,J. Hans D. Jensen,1907-06-25,Hamburg,Germany,male,University of Heidelberg,Heidelberg,Germany,1973-02-11,Heidelberg,West Germany
1963,Physics,The Nobel Prize in Physics,for their discoveries concerning nuclear shell structure,1/4,79,Individual,Maria Goeppert Mayer,1906-06-28,Kattowitz,Germany,female,University of California,"San Diego, CA",USA,1972-02-20,"San Diego, CA",USA
1963,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,1/3,376,Individual,Alan Lloyd Hodgkin,1914-02-05,Banbury,United Kingdom,male,University of Cambridge,Cambridge,United Kingdom,1998-12-20,Cambridge,United Kingdom
1963,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,1/3,377,Individual,Andrew Fielding Huxley,1917-11-22,Hampstead,United Kingdom,male,University College,London,United Kingdom,2012-05-30,Grantchester,United Kingdom
1963,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,1/3,375,Individual,Sir John Carew Eccles,1903-01-27,Melbourne,Australia,male,Australian National University,Canberra,Australia,1997-05-02,Contra,Switzerland
1964,Chemistry,The Nobel Prize in Chemistry,for her determinations by X-ray techniques of the structures of important biochemical substances,1,230,Individual,Dorothy Crowfoot Hodgkin,1910-05-12,Cairo,Egypt,female,"University of Oxford, Royal Society",Oxford,United Kingdom,1994-07-29,Shipston-on-Stour,United Kingdom
1964,Literature,The Nobel Prize in Literature,"for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age",1,637,Individual,Jean-Paul Sartre,1905-06-21,Paris,France,male,,,,1980-04-15,Paris,France
1964,Peace,The Nobel Peace Prize,for his non-violent struggle for civil rights for the Afro-American population,1,524,Individual,Martin Luther King Jr.,1929-01-15,"Atlanta, GA",USA,male,,,,1968-04-04,"Memphis, TN",USA
1964,Physics,The Nobel Prize in Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",1/4,83,Individual,Aleksandr Mikhailovich Prokhorov,1916-07-11,Atherton,Australia,male,P.N. Lebedev Physical Institute,Moscow,USSR,2002-01-08,Moscow,Russia
1964,Physics,The Nobel Prize in Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",1/2,81,Individual,Charles Hard Townes,1915-07-28,"Greenville, SC",USA,male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,2015-01-27,"Berkeley, CA",USA
1964,Physics,The Nobel Prize in Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",1/4,82,Individual,Nicolay Gennadiyevich Basov,1922-12-14,Usman,USSR,male,P.N. Lebedev Physical Institute,Moscow,USSR,2001-07-01,Moscow,Russia
1964,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism,1/2,379,Individual,Feodor Lynen,1911-04-06,Munich,Germany,male,Max-Planck-Institut für Zellchemie,Munich,Germany,1979-08-06,Munich,Germany
1964,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism,1/2,378,Individual,Konrad Bloch,1912-01-21,Neisse,Germany,male,Harvard University,"Cambridge, MA",USA,2000-10-15,"Burlington, MA",USA
1965,Chemistry,The Nobel Prize in Chemistry,for his outstanding achievements in the art of organic synthesis,1,231,Individual,Robert Burns Woodward,1917-04-10,"Boston, MA",USA,male,Harvard University,"Cambridge, MA",USA,1979-07-08,"Cambridge, MA",USA
1965,Literature,The Nobel Prize in Literature,"for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people",1,638,Individual,Mikhail Aleksandrovich Sholokhov,1905-05-24,Veshenskaya,Russia,male,,,,1984-02-21,Veshenskaya,USSR
1965,Peace,The Nobel Peace Prize,for its effort to enhance solidarity between nations and reduce the difference between rich and poor states,1,525,Organization,United Nations Children's Fund,1946-01-01,"New York, NY",USA,,,,,,,
1965,Physics,The Nobel Prize in Physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",1/3,85,Individual,Julian Schwinger,1918-02-12,"New York, NY",USA,male,Harvard University,"Cambridge, MA",USA,1994-07-16,"Los Angeles, CA",USA
1965,Physics,The Nobel Prize in Physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",1/3,86,Individual,Richard P. Feynman,1918-05-11,"New York, NY",USA,male,California Institute of Technology (Caltech),"Pasadena, CA",USA,1988-02-15,"Los Angeles, CA",USA
1965,Physics,The Nobel Prize in Physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",1/3,84,Individual,Sin-Itiro Tomonaga,1906-03-31,Kyoto,Japan,male,Tokyo University of Education,Tokyo,Japan,1979-07-08,Tokyo,Japan
1965,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning genetic control of enzyme and virus synthesis,1/3,381,Individual,André Lwoff,1902-05-08,Ainay-le-Château,France,male,Institut Pasteur,Paris,France,1994-09-30,Paris,France
1965,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning genetic control of enzyme and virus synthesis,1/3,380,Individual,François Jacob,1920-06-17,Nancy,France,male,Institut Pasteur,Paris,France,2013-04-19,Paris,France
1965,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning genetic control of enzyme and virus synthesis,1/3,382,Individual,Jacques Monod,1910-02-09,Paris,France,male,Institut Pasteur,Paris,France,1976-05-31,Cannes,France
1966,Chemistry,The Nobel Prize in Chemistry,for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method,1,232,Individual,Robert S. Mulliken,1896-06-07,"Newburyport, MA",USA,male,University of Chicago,"Chicago, IL",USA,1986-10-31,"Arlington, VA",USA
